,name,ra,dec,velocity,redshift,flag
28005,WISEA J091045.31+510541.8,137.6888,51.09492,--,--,
28006,WISEA J091045.79+510545.8,137.6908,51.09607,--,--,
28007,SDSS J091046.01+510548.3,137.69173,51.09676,--,--,
28008,WISEA J091154.98+511055.2,137.97933,51.18203,--,--,
28009,WISEA J091252.93+512201.0,138.22049,51.36701,--,--,
28010,WISEA J091613.94+525939.7,139.05822,52.99463,--,--,
28011,WISEA J091626.35+525145.0,139.11021,52.86296,--,--,
28012,GALEXMSC J091626.61+525141.7,139.11089,52.86161,--,--,
28013,WISEA J091627.30+525141.8,139.11376,52.86163,--,--,
28014,SDSS J091825.14+531128.7,139.60479,53.19132,--,--,
28015,SDSS J091825.34+524921.7,139.6056,52.82271,--,--,
28016,WISEA J091708.49+530314.7,139.28561,53.05415,--,--,
28017,WISEA J091654.86+525522.2,139.22862,52.92286,--,--,
28018,WISEA J091806.51+530354.7,139.52723,53.06509,--,--,
28019,WISEA J091628.25+530056.7,139.11772,53.01578,--,--,
28020,WISEA J091709.05+530649.8,139.28794,53.11418,--,--,
28021,WISEA J091659.98+524825.0,139.25017,52.80698,--,--,
28022,WISEA J091830.14+530312.2,139.62564,53.05342,27491.0,0.091701,SPEC
28023,SDSS J091843.30+530637.9,139.68044,53.11053,--,--,
28024,WISEA J091843.90+530644.0,139.68262,53.11237,--,--,
28025,GALEXASC J091843.95+530641.6,139.68313,53.11158,--,--,
28026,SDSS J091844.20+530641.7,139.68421,53.11161,--,--,
28027,SDSS J092158.72+443526.9,140.49469,44.59082,--,--,
28028,WISEA J092209.93+442550.5,140.54128,44.43081,--,--,
28029,SDSS J092231.61+444422.2,140.63173,44.73951,--,--,
28030,SDSS J092234.19+443731.1,140.64247,44.62533,--,--,
28031,WISEA J092234.35+443731.1,140.64314,44.62532,--,--,
28032,SDSS J092234.19+443731.1,140.64247,44.62533,--,--,
28033,WISEA J092234.35+443731.1,140.64314,44.62532,--,--,
28034,WISEA J092247.39+443243.0,140.69737,44.54525,24221.0,0.080794,SPEC
28035,SDSS J092219.03+442804.8,140.57931,44.46801,--,--,
28036,WISEA J092258.18+442257.1,140.7421,44.38228,--,--,
28037,SDSS J092258.67+442301.7,140.74449,44.38381,--,--,
28038,WISEA J092309.34+443121.5,140.78873,44.52256,--,--,
28039,WISEA J092945.54+491751.2,142.43972,49.29758,--,--,
28040,SDSS J092945.97+491745.5,142.44158,49.29598,--,--,
28041,WISEA J092852.57+490744.6,142.21908,49.12904,--,--,
28042,WISEA J092845.45+490947.8,142.18932,49.16334,--,--,
28043,SDSS J092916.65+491155.6,142.31938,49.19879,--,--,
28044,SDSS J092917.02+491158.8,142.32094,49.19967,--,--,
28045,WISEA J092917.08+491149.2,142.32115,49.19692,--,--,
28046,WISEA J092914.11+491344.8,142.30883,49.22911,30615.0,0.102119,SPEC
28047,WISEA J092926.88+491220.8,142.36205,49.20577,24021.0,0.080126,SPEC
28048,WISEA J092913.78+491324.6,142.30715,49.2235,--,--,
28049,WISEA J093006.59+491021.4,142.52737,49.1727,--,--,
28050,WISEA J092749.56+491125.2,141.95648,49.19033,20167.0,0.067271,SPEC
28051,WISEA J094541.98+012306.6,146.42503,1.38503,--,--,
28052,WISEA J094503.95+013902.5,146.26684,1.65102,--,--,
28053,WISEA J094540.95+013508.3,146.42066,1.58565,36546.0,0.121905,SPEC
28054,WISEA J094706.81+013754.6,146.77836,1.6318,--,--,
28055,WISEA J094619.45+015455.2,146.58141,1.91518,--,--,
