,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link,spec_z
10,588017702933758085,187.55788402,11.93961158,1.2783129999999971,1.8371120000000012,3.4109990000000003,1.5738869999999991,0.8684619999999974,0.32764420408432715,0.066301,1.0,NGC4486,16.4,0.622839,Possible contaminants,318.3716349619601,-13.79240124023849,19.987392,18.15028,16.871967,17.281818,16.576393,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702933758085,0.091215
11,588017702933954768,188.07585923,12.03384886,1.3130830000000024,1.9734169999999978,3.599584,1.6261670000000024,0.9170800000000021,0.3837419555805782,0.084943,1.0,NGC4486,16.4,0.838495,Possible contaminants,92.91918843896231,-13.644486240238493,20.32023,18.346813,17.03373,17.429733,16.720646,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702933954768,0.096918
12,588017703470563357,187.43836209,12.32884977,1.0653119999999987,1.6619740000000007,2.9488190000000003,1.2868449999999996,0.6941319999999997,0.39857479655598305,0.058688,0.621595,NGC4486,16.4,0.591784,Possible contaminants,188.46877115225394,-13.516676240238493,19.913649,18.251675,17.186363,17.557543,16.96483,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470563357,0.170572
13,588017703470760155,188.01211143,12.37337194,1.2497289999999985,1.8787009999999995,3.4279659999999996,1.5492650000000001,0.8704910000000012,0.39748229452023415,0.071274,0.856563,NGC4486,16.4,0.531127,Possible contaminants,141.8398502229929,-14.402560240238493,19.420851,17.54215,16.292421,16.671659,15.992885,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470760155,0.049346
14,588017566027677806,187.32430479,12.23100971,1.2391489999999976,1.6182060000000007,3.1820389999999996,1.563832999999999,0.8625679999999996,0.35317437131355517,0.097458,1.0,NGC4486,16.4,0.809348,Possible contaminants,162.3107373920765,-13.571942240238492,19.983051,18.364845,17.125696,17.502277,16.801012,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027677806,0.08958
15,588017566027939963,187.97040785,12.26640682,0.9864979999999974,1.6150530000000032,2.8070950000000003,1.1920419999999972,0.6590980000000002,0.3534396131969634,0.055117,1.0,NGC4486,16.4,0.975871,Known galaxies,132.93128235920753,-13.917397240238493,19.430973,17.81592,16.829422,17.156822,16.623878,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027939963,0.00323329
16,588017566028005512,188.07842548,12.23655531,1.429758999999999,1.9266450000000006,3.7289849999999998,1.8023399999999992,0.9818129999999989,0.3202837261302493,0.10019,0.922936,NGC4486,16.4,0.68905,Possible contaminants,407.12180810988025,-15.600458240238492,18.382219,16.455574,15.025815,15.473761,14.653234,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566028005512,0.096074
17,588017566564548729,187.35379411,12.69216096,1.332673999999999,1.7577670000000012,3.4223739999999996,1.6646069999999984,0.8590279999999986,0.34679826398142155,0.076831,0.53697,NGC4486,16.4,0.54533,Possible contaminants,344.42006965300254,-15.069197240238491,18.621817,16.86405,15.531376,16.005022,15.199443,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564548729,0.093691
18,588017566564614311,187.52538209,12.69218242,1.198919,1.6618080000000006,3.197519,1.5357109999999992,0.828288999999998,0.36480569748941305,0.082876,1.0,NGC4486,16.4,0.733032,Possible contaminants,191.4641470765008,-13.484633240238491,20.079683,18.417875,17.218956,17.589586,16.882164,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564614311,0.093604
19,588017566564810829,187.90907341,12.66796985,1.4242629999999998,1.9316059999999986,3.703688999999999,1.7720830000000003,0.9833849999999984,0.33588120264816856,0.10304,1.0,NGC4486,16.4,0.867491,Possible contaminants,310.433968668862,-14.74981524023849,19.239395,17.307789,15.883526,16.324404,15.535706,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564810829,0.0963
