objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
587739406768406623,148.34234377,29.01955936,1.1995240000000003,1.5549019999999985,3.003530999999999,1.4486290000000004,0.7617600000000024,0.4421480097085065,0.091093,0.611433,NGC3032,21.4,0.963011,Possible compact galaxies,45.76482231327762,-12.988091866745958,20.980639,19.425737,18.226213,18.663977,17.977108,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739406768406623
587726033847320712,152.86744816,3.16004489,1.0130169999999978,1.751145000000001,2.9862600000000015,1.2351150000000004,0.6822540000000004,0.4536131599210176,0.06025,1.0,NGC3156,21.8,0.955004,Possible compact galaxies,33.20210812791728,-13.318693468023024,20.806988,19.055843,18.042826,18.373589,17.820728,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033847320712
587741817322275055,157.0334319,22.82992965,1.0562160000000027,1.8918739999999978,3.2108349999999994,1.3189610000000016,0.7551450000000024,0.3701231635507054,0.08337,0.692483,NGC3248,24.6,0.871727,Possible compact galaxies,153.2433174452996,-13.4458735355169,21.155821,19.263947,18.207731,18.508802,17.944986,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741817322275055
587741830190727410,156.81290404,23.16125236,1.0467970000000015,1.9084029999999998,3.156991999999999,1.248588999999999,0.6851160000000007,0.4211987703970456,0.065392,1.0,NGC3248,24.6,0.616,Possible compact galaxies,18.940461395628887,-12.166385535516898,22.381809,20.473406,19.426609,19.78829,19.224817,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741830190727410
587734949669830708,162.11948914,12.14204072,1.0175499999999982,1.7377340000000032,2.9471680000000013,1.2094339999999981,0.6633089999999982,0.3321294563251624,0.065766,1.0,NGC3379,10.3,0.923594,Possible compact galaxies,81.35097598714184,-13.86418512352586,18.601044,16.86331,15.84576,16.200001,15.653876,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734949669830708
587742775625711681,163.93171346,17.42808238,1.1724430000000012,1.9009520000000002,3.3356630000000003,1.434711,0.8049369999999989,0.4324858093777806,0.065404,0.752454,NGC3457,20.1,0.872016,Possible compact galaxies,78.22108953205161,-14.151358287102443,20.070511,18.169559,16.997116,17.364622,16.734848,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742775625711681
587729385538257335,167.03206658,57.46863081,0.9248070000000013,1.7631960000000007,2.9650089999999985,1.2018129999999978,0.6823300000000003,0.3798365065678597,0.081185,0.776061,NGC3530,31.2,0.924978,Possible compact galaxies,128.88041434693477,-12.657744970092214,22.258554,20.495358,19.570551,19.813028,19.293545,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729385538257335
587731891648987530,167.49858487,57.06930616,0.9374010000000013,1.8749520000000004,2.9753020000000028,1.1003500000000024,0.628145,0.4942240589864415,0.050627,1.0,NGC3530,31.2,0.724122,Possible compact galaxies,451.0616817904664,-12.762676970092212,22.211193,20.336241,19.39884,19.708096,19.235891,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731891648987530
588297865801564383,168.53169458,47.40695438,1.269081,2.369211,3.936976999999999,1.5677659999999989,0.8178750000000008,0.416401466665279,0.08378,0.539152,NGC3595,34.7,0.766014,Possible compact galaxies,164.32666031948207,-12.339743373954374,23.54899,21.179779,19.910698,20.361904,19.612013,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588297865801564383
587729386075783365,169.49303351,58.25855023,1.211506,2.2297109999999982,3.701546999999998,1.4718359999999997,0.7633460000000021,0.4277950528907289,0.085795,0.766872,NGC3613,28.3,0.780207,Possible compact galaxies,94.47099046615524,-12.822504177621454,22.429485,20.199774,18.988268,19.436428,18.727938,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729386075783365
