,name,ra,dec,velocity,redshift,flag
172,WISEA J133307.07+472259.3,203.27948,47.38314,26697.0,0.089053,SPEC
173,WISEA J133611.46+472736.4,204.0477,47.46008,18942.0,0.063183,SPEC
174,WISEA J133429.67+474335.7,203.62373,47.72682,18884.0,0.062991,SPEC
175,WISEA J132417.74+472303.1,201.07388,47.38423,27136.0,0.090515,SPEC
176,WISEA J133350.26+464031.7,203.45943,46.67549,33934.0,0.11319,SPEC
177,2MASX J13303616+4744386,202.65059,47.74407,18456.0,0.061564,SPEC
178,WISEA J133139.60+473726.3,202.91501,47.62397,18220.0,0.060775,SPEC
179,WISEA J133302.33+473737.4,203.25933,47.62706,18965.0,0.063261,SPEC
180,WISEA J133545.92+472512.5,203.9413,47.42015,18521.0,0.061778,SPEC
181,ILT J133545.9+472512.3,203.94138,47.42008,--,--,
182,NGC 5198,202.5475,46.67078,2519.0,0.008402,
183,NGC 5198 GROUP,202.5475,46.67083,--,--,
184,WISEA J132651.45+472528.2,201.7144,47.4245,27298.0,0.091056,SPEC
185,2MASX J13333351+4738094,203.38963,47.63605,18587.0,0.062001,SPEC
186,WISEA J133841.26+090347.8,204.6719,9.06329,23244.0,0.077534,SPEC
187,WISEA J134755.21+033436.5,206.98016,3.57685,35217.0,0.117471,SPEC
188,WISEA J134909.62+040448.3,207.29012,4.08009,23834.0,0.079502,SPEC
189,WISEA J135242.69-005708.0,208.17785,-0.95228,44221.0,0.147504,SPEC
190,WISEA J135615.11+053209.1,209.06295,5.53587,35354.0,0.117928,SPEC
191,WISEA J135646.58+051528.8,209.19408,5.25798,35252.0,0.117589,SPEC
192,MSPM 04384,211.2318,54.403,24415.0,0.08144,
193,WISEA J140455.63+542410.7,211.2318,54.40297,24076.0,0.080309,SPEC
194,WISEA J140912.15+541959.7,212.30042,54.33344,29454.0,0.098247,SPEC
195,GMBCG J211.84388+54.00245,211.84388,54.00245,39273.0,0.131,PHOT
196,WISEA J140722.54+540008.8,211.8439,54.00245,34823.0,0.116157,SPEC
197,NGC 5422 GROUP,210.175,55.16444,--,--,
198,NGC 5422,210.17516,55.16448,1838.0,0.006131,
199,WISEA J140418.45+545643.4,211.07688,54.94542,20378.0,0.067975,SPEC
200,NGC 5473 GROUP,211.18,54.8925,--,--,
201,NGC 5473,211.18011,54.89263,2022.0,0.006745,
202,WISEA J140519.39+535155.3,211.33079,53.86537,43277.0,0.144357,SPEC
203,CGCG 272-037,212.50657,54.88173,12609.0,0.042058,SPEC
204,MSPM 00037,212.5066,54.8817,12277.0,0.04095,
205,WISEA J135747.33+545632.2,209.44713,54.94228,24950.0,0.083223,SPEC
206,WISEA J140201.85+551300.2,210.50777,55.21672,20515.0,0.068431,SPEC
207,WISEA J140239.82+550903.1,210.66593,55.15086,20291.0,0.067683,SPEC
208,WISEA J140252.18+550758.6,210.7173,55.13295,20533.0,0.068492,SPEC
209,WISEA J140822.02+544907.8,212.09177,54.81876,12202.0,0.040702,SPEC
210,WISEA J135612.09+544248.6,209.05037,54.71352,40649.0,0.135589,SPEC
211,WISEA J140722.27+543023.9,211.84274,54.50665,20236.0,0.067499,SPEC
212,WISEA J141903.10+035154.0,214.76295,3.86501,32839.0,0.10954,SPEC
213,WISEA J142945.88+071004.2,217.4412,7.16783,16504.0,0.055053,SPEC
214,WISEA J143656.60+022650.8,219.23587,2.44744,29315.0,0.097785,SPEC
215,2MASS J15010994+0139154,225.29147,1.65436,--,--,
216,WISEA J145929.07+020116.5,224.87108,2.02129,34054.0,0.113592,SPEC
217,WISEA J151555.38+420720.4,228.98069,42.12235,34819.0,0.116143,SPEC
218,WISEA J151404.26+563018.1,228.51773,56.50518,20899.0,0.069712,SPEC
219,WISEA J151747.75+561104.9,229.44892,56.18469,27839.0,0.09286,SPEC
220,WISEA J155259.85+620054.7,238.24949,62.01519,--,--,
221,,,,,,
222,,,,,,
223,WISEA J173133.81+071256.2,262.89067,7.21564,5844.0,0.019494,PHOT
224,WISEA J173223.10+063951.3,263.09621,6.66431,9171.0,0.030592,PHOT
225,WISEA J173350.20+065710.2,263.45921,6.95283,--,--,
226,NGC 7336,339.34142,34.48176,8799.0,0.02935,SPEC
227,UGC 12121,339.41842,34.84647,6940.0,0.023149,
228,WISEA J223827.81+345829.6,339.61579,34.97494,7565.0,0.025235,PHOT
229,GALEXASC J223551.86+335642.5,338.9661,33.94515,--,--,
230,NGC 7317,338.96617,33.94489,6599.0,0.022012,SPEC
231,NGC 7340,339.43424,34.40999,6400.0,0.021348,
232,CGCG 514-079,339.627,34.24058,6000.0,0.020014,
233,WISEA J000359.11+160359.3,0.9963,16.06649,42195.0,0.140746,SPEC
234,WISEA J000428.26+155854.0,1.1178,15.98166,42239.0,0.140895,SPEC
235,WISEA J100742.24+525456.8,151.92601,52.91577,40059.0,0.133622,SPEC
236,WISEA J105559.14+271129.1,163.9966,27.19154,22592.0,0.07536,SPEC
237,WISEA J134948.50+423919.6,207.45209,42.65543,28398.0,0.094726,SPEC
238,WISEA J154122.69+003052.4,235.34456,0.51455,21886.0,0.073003,SPEC
239,WISEA J154251.87+004022.8,235.71608,0.67302,25998.0,0.08672,SPEC
