,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
594,587726033847320712,152.86744816,3.16004489,1.0130169999999978,1.751145000000001,2.9862600000000015,1.2351150000000004,0.6822540000000004,0.4536131599210176,0.06025,1.0,NGC3156,21.8,0.955004,Possible compact galaxies,33.20210812791728,-13.318693468023024,20.806988,19.055843,18.042826,18.373589,17.820728,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033847320712
606,587728309632565398,153.28690062,2.82627184,1.3185730000000007,2.3266659999999995,3.9657990000000005,1.639133000000001,0.881062,0.3843985929392901,0.082592,0.735621,NGC3156,21.8,0.579983,Possible compact galaxies,129.72554705335668,-12.537545468023024,22.362465,20.035799,18.717226,19.154737,18.396666,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587728309632565398
627,588009366403940871,154.65389228,58.42003268,0.9012619999999991,1.5593700000000013,2.6833090000000013,1.123939,0.5080959999999983,0.4235272714335021,0.063009,0.635262,NGC3182,34.0,0.494254,Possible compact galaxies,130.09781832880063,-12.830312585211278,21.894548,20.335178,19.433916,19.827082,19.211239,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588009366403940871
628,588009366404006431,155.06366133,58.32898968,1.0756930000000011,1.585915,3.149692999999999,1.5637779999999992,0.7308269999999979,0.4034894177002277,0.074584,0.883606,NGC3182,34.0,0.999971,Possible compact galaxies,53.75435193273589,-12.003427585211275,22.970709,21.384794,20.309101,20.653967,19.821016,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588009366404006431
634,587741816247484587,154.5895829,21.67727148,0.6579680000000003,1.2042140000000003,2.209142,1.0049279999999996,0.4676650000000002,0.4043727216803988,0.042545,0.91634,NGC3193,33.1,0.625324,Possible compact galaxies,164.3953370979755,-12.511718968878595,21.7593,20.555086,19.897118,20.087421,19.550158,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741816247484587
678,587738409790931160,155.82706432,12.73486874,1.0861240000000016,1.7626649999999984,2.850645,1.0879800000000017,0.746494000000002,0.3847644865901624,0.056599,0.808939,NGC3230,40.8,0.917744,Possible compact galaxies,407.9045147670431,-14.3299938154494,21.232466,19.469801,18.383677,18.723307,18.381821,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738409790931160
707,587741567124373612,156.81206329,28.92449702,0.8743149999999993,1.4318060000000017,2.4512500000000017,1.019444,0.5500299999999996,0.4344451715771596,0.063041,0.576509,NGC3245,20.3,0.400409,Possible compact galaxies,73.60994866094146,-12.12913218956606,21.390184,19.958378,19.084063,19.408348,18.938934,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741567124373612
722,587741817322275055,157.0334319,22.82992965,1.0562160000000027,1.8918739999999978,3.2108349999999994,1.3189610000000016,0.7551450000000024,0.3701231635507054,0.08337,0.692483,NGC3248,24.6,0.871727,Possible compact galaxies,153.2433174452996,-13.4458735355169,21.155821,19.263947,18.207731,18.508802,17.944986,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741817322275055
730,587741830190727410,156.81290404,23.16125236,1.0467970000000015,1.9084029999999998,3.156991999999999,1.248588999999999,0.6851160000000007,0.4211987703970456,0.065392,1.0,NGC3248,24.6,0.616,Possible compact galaxies,18.940461395628887,-12.166385535516898,22.381809,20.473406,19.426609,19.78829,19.224817,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741830190727410
739,587741829653922073,157.06790289,22.73619118,0.9404469999999989,2.223547,3.996482999999998,1.7729359999999978,0.8626649999999998,0.3395784014365084,0.091457,0.987957,NGC3248,24.6,0.791396,Possible compact galaxies,86.96466833239377,-12.5700545355169,22.470833,20.247286,19.306839,19.384621,18.47435,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741829653922073
