objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
1237661976011276397,187.1367766,7.868985893,1.30365,1.8106,3.4403,1.6297,0.8956,2.09403,2.27703,3.75803,7.79003,0.3692106441,0.08308,0.9477055,NGC4472,17.14,0.8128121,Contaminant,178.7071763,-13.99992409,19.87633,18.06573,16.76208,17.17013,16.43603,14.342,14.159,12.678,8.646,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011276397
1237661972260192462,187.0728676,7.944254361,1.08794,1.53031,2.91635,1.38604,0.71427,2.16669,2.39169,5.24269,8.16869,0.4724335017,0.077728,0,NGC4472,17.14,0.3000026,Contaminant,297.5458266,-13.97059409,19.44404,17.91373,16.82579,17.19946,16.52769,14.361,14.136,11.285,8.359,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260192462
1237661976011210958,187.0731581,7.848579506,1.2924,1.8959,3.50075,1.60485,0.89564,2.21047,2.32547,4.54947,7.80147,0.3618026365,0.084744,1,NGC4472,17.14,0.9998315,Contaminant,126.5623143,-13.74737409,20.21422,18.31832,17.02592,17.42268,16.71347,14.503,14.388,12.164,8.912,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011210958
1237661972260126982,186.9535166,7.953797722,1.33006,2.01416,3.63607,1.62191,0.92697,2.14651,2.37951,4.48751,8.53951,0.3071409941,0.102191,1,NGC4472,17.14,0.9877661,Contaminant,127.7694654,-13.38360409,20.72758,18.71342,17.38336,17.78645,17.09151,14.945,14.712,12.604,8.552,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260126982
1237661972260257949,187.1967891,7.928753481,1.4958,2.01477,3.87606,1.86129,1.06787,2.322,2.594,4.179,7.54,0.2998443181,0.130027,1,NGC4472,17.14,0.7544068,Contaminant,159.0114689,-14.04563409,20.20706,18.19229,16.69649,17.12442,16.331,14.009,13.737,12.152,8.791,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260257949
1237661972260258009,187.2850857,7.913417842,1.48179,1.96543,3.80462,1.83919,1.08866,2.21607,2.40907,3.66007,6.92007,0.3215687363,0.137002,1,NGC4472,17.14,0.8794677,Contaminant,186.4172133,-14.33145409,19.89269,17.92726,16.44547,16.8386,16.08807,13.872,13.679,12.428,9.168,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260258009
1237661976011407478,187.4527912,7.795489513,1.40521,1.64696,3.36364,1.71668,0.96242,1.87766,2.12066,5.05366,7.64766,0.4013272618,0.14341,0.4576048,NGC4472,17.14,0.6242446,Contaminant,361.6055792,-14.33713409,19.4423,17.79534,16.39013,16.83292,16.07866,14.201,13.958,11.025,8.431,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011407478
1237661976011342150,187.3590368,7.87405699,1.37607,1.68939,3.34759,1.6582,0.90362,2.27377,2.55477,5.13877,8.37477,0.4679901498,0.126527,0.04333929,NGC4472,17.14,0.5375777,Contaminant,294.8378658,-13.63670409,20.12636,18.43697,17.0609,17.53335,16.77877,14.505,14.224,11.64,8.404,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011342150
1237654786779840680,187.4133685,8.041403201,1.57848,1.34648,3.22143,1.87495,1.12589,2.38113,2.59413,5.16113,7.66013,0.4593948636,0.209003,0.7170414,NGC4472,17.14,0.5753962,Contaminant,343.847204,-13.95386409,19.68856,18.34208,16.7636,17.21619,16.46713,14.086,13.873,11.306,8.807,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840680
1237654786779840740,187.3102147,7.930404444,1.20598,1.26043,2.67888,1.41845,0.82027,2.43162,2.70162,5.84362,8.30662,0.4916324234,0.167361,0.02927627,NGC4472,17.14,0.7950657,Contaminant,174.4005627,-13.42525409,19.8255,18.56507,17.35909,17.7448,17.14662,14.715,14.445,11.303,8.84,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840740
1237661976011538592,187.7753693,7.761157656,1.28075,1.72387,3.29601,1.57214,0.87265,1.78258,1.82858,3.96158,6.70058,0.4280359146,0.081211,0.6253297,NGC4472,17.14,0.7081943,Contaminant,438.3866357,-15.19198409,18.57459,16.85072,15.56997,15.97807,15.27858,13.496,13.45,11.317,8.578,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538592
1237661972260454588,187.7092522,8.035107156,1.40164,1.87152,3.58088,1.70936,0.95541,2.03519,2.14119,3.88319,6.64519,0.3103972905,0.093492,1,NGC4472,17.14,0.7355506,Contaminant,246.685354,-14.68691409,19.31007,17.43855,16.03691,16.48314,15.72919,13.694,13.588,11.846,9.084,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454588
1237661972260454574,187.7045374,8.039176382,1.40813,1.93431,3.66743,1.73312,0.97881,2.10454,2.28654,3.78354,6.78554,0.3167532495,0.10106,0.9586726,NGC4472,17.14,0.5271353,Contaminant,278.3001102,-14.51720409,19.56597,17.63166,16.22353,16.65285,15.89854,13.794,13.612,12.115,9.113,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454574
1237661976011538573,187.7548185,7.894574708,1.19451,1.46648,2.98715,1.52067,0.75571,2.35625,2.57225,5.95025,7.74825,0.3832657172,0.08909,0.2030798,NGC4472,17.14,0.2571454,Contaminant,348.9252504,-13.80084409,19.5914,18.12492,16.93041,17.36921,16.60425,14.248,14.032,10.654,8.856,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538573
1237661976011473068,187.7211713,7.8033672,1.18738,2.06942,3.51612,1.4467,0.77504,2.43787,2.68587,5.66987,8.44887,0.3833575463,0.089058,0.4742602,NGC4472,17.14,0.5688665,Contaminant,208.79245,-13.70952409,20.30499,18.23557,17.04819,17.46053,16.78887,14.351,14.103,11.119,8.34,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011473068
1237661976011538555,187.734576,7.764670057,1.26683,1.84036,3.46208,1.62172,0.84922,1.95057,2.22257,4.50657,7.47857,0.3629828033,0.078387,1,NGC4472,17.14,0.8238168,Contaminant,204.5500731,-13.99598409,19.86365,18.02329,16.75646,17.17407,16.40157,14.451,14.179,11.895,8.923,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538555
1237661972260454583,187.7058006,8.014921839,1.0968,1.3449,2.68747,1.34257,0.69981,2.45225,2.70725,5.47325,8.10625,0.4347114969,0.116856,0.3392288,NGC4472,17.14,0.9814876,Contaminant,107.4589434,-13.31104409,19.90372,18.55882,17.46202,17.85901,17.21625,14.764,14.509,11.743,9.11,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454583
1237661976011473016,187.6408898,7.77500299,1.16507,1.42324,2.85401,1.43077,0.77421,2.13411,2.39311,5.23211,8.44511,0.5118749189,0.121537,0,NGC4472,17.14,0.8663219,Contaminant,188.0874643,-13.57938409,19.78812,18.36488,17.19981,17.59067,16.93411,14.8,14.541,11.702,8.489,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011473016
1237661976011538561,187.7462845,7.790090427,0.90315,1.17589,2.28511,1.10922,0.54896,2.08326,2.33326,5.93726,8.52826,0.4975224316,0.09207,0,NGC4472,17.14,0.4669966,Contaminant,267.1206673,-13.59253409,19.30237,18.12648,17.22333,17.57752,17.01726,14.934,14.684,11.08,8.489,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538561
1237661976011538619,187.7983895,7.761751028,1.49131,1.99206,3.85232,1.86026,1.00968,1.85274,1.93474,3.17974,6.22774,0.3201053815,0.083506,1,NGC4472,17.14,0.8633832,Contaminant,482.1368988,-15.79273409,18.37906,16.387,14.89569,15.37732,14.52674,12.674,12.592,11.347,8.299,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538619
1237661976011538650,187.8213755,7.80070717,1.46233,1.8262,3.69204,1.86584,0.95926,2.11523,2.29923,4.90623,8.29523,0.4128286887,0.090617,0.1160746,NGC4472,17.14,0.1999804,Contaminant,432.9075128,-14.12624409,19.82927,18.00307,16.54074,17.04381,16.13723,14.022,13.838,11.231,7.842,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538650
1237661976011538620,187.8095295,7.758362122,1.3546,1.98084,3.65756,1.67672,0.93334,2.70495,2.86895,4.90295,8.23195,0.4823253498,0.089698,0.5734242,NGC4472,17.14,0.7390357,Contaminant,81.67653567,-13.86772409,20.21651,18.23567,16.88107,17.30233,16.55895,13.854,13.69,11.656,8.327,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538620
1237661972260585711,187.9342212,7.960118996,1.20322,1.76828,3.25475,1.48647,0.83312,1.91684,2.04084,3.96884,7.01884,0.3339699702,0.066393,0.9519038,NGC4472,17.14,0.7568765,Contaminant,231.8979147,-14.66586409,19.10559,17.33731,16.13409,16.50419,15.85084,13.934,13.81,11.882,8.832,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260585711
1237661976011538679,187.8582299,7.890707907,1.37231,2.15165,3.89881,1.74716,0.93037,2.25204,2.27204,5.08504,7.89604,0.3425277836,0.091069,1,NGC4472,17.14,0.7967009,Contaminant,106.5963332,-13.61222409,20.63985,18.4882,17.11589,17.55783,16.74104,14.489,14.469,11.656,8.845,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538679
1237661976011538736,187.8321715,7.74126756,1.23348,1.66505,3.18681,1.52176,0.84283,2.32041,2.59541,5.13741,8.19841,0.4460676773,0.085375,0.3915153,NGC4472,17.14,0.7213208,Contaminant,267.912765,-13.31871409,20.35922,18.69417,17.46069,17.85134,17.17241,14.852,14.577,12.035,8.974,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538736
1237661976548409454,187.7904633,8.323305909,1.12902,1.62895,3.04244,1.41349,0.75215,1.77441,1.99241,5.04941,7.32241,0.3840057358,0.062978,0.6500498,NGC4472,17.14,0.5271731,Contaminant,414.1563215,-14.66730409,18.88385,17.2549,16.12588,16.50275,15.84141,14.067,13.849,10.792,8.519,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548409454
