,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
1884,1237671128593858697,181.978573394175,9.9742684941701,1.4376099999999994,1.8204999999999991,3.5539299999999976,1.7334299999999985,1.0152900000000002,2.5120500000000003,2.7200500000000005,4.838050000000001,8.39705,0.33921252407760244,0.14577,1.0,NGC4119,16.5,0.8774347,Possible contaminants,77.73791536104926,-12.864229721069535,21.05898,19.23848,17.80087,18.22319,17.50505,14.993,14.785,12.667,9.108,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128593858697
1885,1237658492816982149,181.803460183566,10.1201977899929,1.0096600000000002,1.5225399999999993,2.75873,1.2361900000000006,0.6891500000000015,2.57953,2.712530000000001,5.93853,8.74753,0.34462259855083305,0.104576,1.0,NGC4119,16.5,0.7645171,Possible contaminants,49.560834133544326,-12.662849721069534,20.63626,19.11372,18.10406,18.42457,17.87753,15.298,15.165,11.939,9.13,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492816982149
1886,1237671128593793241,181.840103938542,9.96313576229688,1.379059999999999,2.03688,3.774549999999998,1.7376699999999978,0.9754499999999986,2.404530000000001,2.414530000000001,5.330530000000001,8.982530000000002,0.41651969884620565,0.1256,0.8334551,NGC4119,16.5,0.464333,Possible contaminants,35.31539823253512,-12.315669721069533,21.78408,19.7472,18.36814,18.77175,18.00953,15.605,15.595,12.679,9.027,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128593793241
1887,1237658492816916634,181.643603702991,10.0769671607562,1.3025600000000015,1.958949999999998,3.5637799999999995,1.6048300000000015,0.8906299999999998,1.9041699999999988,1.923169999999999,3.0441699999999994,6.16817,0.29874667750979095,0.067025,1.0,NGC4119,16.5,0.8732778,Possible contaminants,321.39628764678423,-15.210049721069533,18.72695,16.768,15.46544,15.87737,15.16317,13.259,13.24,12.119,8.995,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492816916634
1888,1237658492816982080,181.693197488094,10.0494835965433,1.1414600000000021,1.493590000000001,2.96115,1.4675599999999989,0.7514199999999995,2.249710000000002,2.336710000000002,5.271710000000002,8.665710000000002,0.39980510094061356,0.117587,0.7714005,NGC4119,16.5,0.8438275,Possible contaminants,57.654181705591775,-12.617569721069533,20.71486,19.22127,18.07981,18.46985,17.75371,15.504,15.417,12.482,9.088,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492816982080
1889,1237671129130795179,181.625536430866,10.2975532604721,0.8703699999999994,1.1437300000000015,2.2187300000000008,1.0749999999999993,0.5126799999999996,1.60736,1.8983600000000003,5.5823599999999995,7.30636,0.43399439987269184,0.065391,0.5895762,NGC4119,16.5,0.8118705,Possible contaminants,574.3031583945148,-15.510739721069534,17.23309,16.08936,15.21899,15.57668,15.01436,13.407,13.116,9.432,7.708,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671129130795179
1890,1237658492816916623,181.635523544053,10.162886113579,1.4322300000000006,1.8885599999999982,3.65958,1.7710200000000018,0.9929300000000012,2.1692599999999995,2.2482599999999984,4.341259999999998,7.090259999999999,0.30034439048909745,0.105859,1.0,NGC4119,16.5,0.5433358,Possible contaminants,233.8528122059554,-14.399069721069534,19.56984,17.68128,16.24905,16.68835,15.91026,13.741,13.662,11.569,8.82,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492816916623
1891,1237671129130795210,181.612157839616,10.3518296348875,1.2904799999999987,1.9134100000000025,3.5126799999999996,1.599269999999997,0.8893099999999983,2.140320000000001,2.3663200000000018,4.121320000000001,7.354320000000001,0.37442702837227043,0.084721,0.8461301,NGC4119,16.5,0.4582983,Possible contaminants,196.88530679501645,-13.895139721069533,19.995,18.08159,16.79111,17.19228,16.48232,14.342,14.116,12.361,9.128,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671129130795210
1892,1237671129130729678,181.564321203654,10.2907664502665,1.4779400000000003,1.9403499999999987,3.7344399999999993,1.7940900000000006,1.0566100000000027,2.5085300000000004,2.715530000000001,5.551530000000001,8.587530000000001,0.3907735743207517,0.155721,1.0,NGC4119,16.5,0.3544012,Possible contaminants,51.33629867673591,-12.727409721069534,21.35697,19.41662,17.93868,18.36001,17.62253,15.114,14.907,12.071,9.035,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671129130729678
1893,1237671129130860668,181.678509930892,10.4262379416923,0.8422499999999999,1.6336200000000005,2.7792600000000007,1.1456400000000002,0.6551100000000005,1.8289299999999997,1.8539299999999983,5.618929999999999,9.36793,0.39129356195157544,0.117786,0.8457064,NGC4119,16.5,0.3663583,Possible contaminants,74.4143220809668,-12.192959721069535,21.18319,19.54957,18.70732,18.89446,18.40393,16.575,16.55,12.785,9.036,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671129130860668
1894,1237674598926123040,181.738577901608,10.2839249098874,1.12772,1.6686899999999998,3.0795999999999992,1.4109099999999994,0.7281499999999994,1.9100300000000008,1.9380300000000013,4.72903,6.299030000000001,0.3332991562022113,0.04147,1.0,NGC4119,16.5,0.5347081,Possible contaminants,654.7491569561017,-16.638629721069535,16.84563,15.17694,14.04922,14.44879,13.76603,11.856,11.828,9.037,7.467,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598926123040
1895,1237658493353918554,181.848191536435,10.4340053188181,1.2982900000000015,1.9117599999999975,3.5136999999999983,1.6019400000000008,0.9015500000000021,2.044220000000001,2.0742200000000004,2.45922,5.557220000000001,0.2935533371861175,0.067685,1.0,NGC4119,16.5,0.7254192,Possible contaminants,319.5572196695474,-15.726809721069534,18.17392,16.26216,14.96387,15.36061,14.66022,12.616,12.586,12.201,9.103,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658493353918554
1896,1237658493353853179,181.825541525259,10.4222514811937,1.396939999999999,2.13298,3.858209999999998,1.725229999999998,1.0014199999999995,2.1150400000000005,2.242040000000001,2.7960400000000014,6.422040000000001,0.3400780576991037,0.102818,0.8837082,NGC4119,16.5,0.8301071,Possible contaminants,251.16780423411424,-14.909569721069534,19.31225,17.17927,15.78233,16.17785,15.45404,13.339,13.212,12.658,9.032,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658493353853179
