,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link,spec_z
20,1237661976011538573,187.754818496282,7.89457470841394,1.194510000000001,1.4664800000000007,2.9871499999999997,1.520669999999999,0.7557100000000005,2.356250000000001,2.5722500000000004,5.9502500000000005,7.7482500000000005,0.3832657172055617,0.08909,0.2030798,NGC4472,17.14,0.2571454,Possible contaminants,348.92525041981645,-13.8008440879359,19.5914,18.12492,16.93041,17.36921,16.60425,14.248,14.032,10.654,8.856,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538573,0.08479698
21,1237661976011473068,187.721171258233,7.8033671999248,1.1873799999999974,2.069420000000001,3.516120000000001,1.4466999999999999,0.7750400000000006,2.4378699999999984,2.6858699999999995,5.6698699999999995,8.44887,0.3833575462839103,0.089058,0.4742602,NGC4472,17.14,0.5688665,Possible contaminants,208.79245004977045,-13.7095240879359,20.30499,18.23557,17.04819,17.46053,16.78887,14.351,14.103,11.119,8.34,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011473068,0.08595221
22,1237661976011538555,187.73457601161,7.76467005746459,1.2668299999999988,1.8403600000000004,3.4620800000000003,1.6217199999999998,0.849219999999999,1.950569999999999,2.2225699999999993,4.50657,7.4785699999999995,0.3629828033346043,0.078387,1.0,NGC4472,17.14,0.8238168,Possible contaminants,204.5500731203578,-13.995984087935899,19.86365,18.02329,16.75646,17.17407,16.40157,14.451,14.179,11.895,8.923,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538555,0.08599098
23,1237661972260454583,187.705800575006,8.01492183917183,1.0968000000000018,1.344899999999999,2.687470000000001,1.342570000000002,0.6998099999999994,2.4522499999999994,2.7072499999999984,5.473249999999998,8.10625,0.43471149694800576,0.116856,0.3392288,NGC4472,17.14,0.9814876,Possible contaminants,107.45894337776697,-13.311044087935898,19.90372,18.55882,17.46202,17.85901,17.21625,14.764,14.509,11.743,9.11,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454583,0.08930831
24,1237661976011473016,187.640889813856,7.77500299008794,1.16507,1.4232399999999998,2.854009999999999,1.430769999999999,0.7742100000000001,2.1341099999999997,2.39311,5.2321100000000005,8.44511,0.5118749188764842,0.121537,0.0,NGC4472,17.14,0.8663219,Possible contaminants,188.08746429346883,-13.5793840879359,19.78812,18.36488,17.19981,17.59067,16.93411,14.8,14.541,11.702,8.489,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011473016,0.119236
25,1237661976011538561,187.746284507171,7.79009042678304,0.9031500000000001,1.175889999999999,2.2851099999999995,1.1092200000000005,0.548960000000001,2.083260000000001,2.333260000000001,5.93726,8.52826,0.49752243164371507,0.09207,0.0,NGC4472,17.14,0.4669966,Possible contaminants,267.1206672746462,-13.5925340879359,19.30237,18.12648,17.22333,17.57752,17.01726,14.934,14.684,11.08,8.489,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538561,0.0874812
26,1237661976011538619,187.798389520962,7.76175102848864,1.4913100000000004,1.9920599999999986,3.852319999999999,1.8602600000000002,1.0096800000000012,1.8527400000000007,1.9347399999999997,3.1797400000000007,6.227740000000001,0.3201053814617154,0.083506,1.0,NGC4472,17.14,0.8633832,Possible contaminants,482.1368988215358,-15.7927340879359,18.37906,16.387,14.89569,15.37732,14.52674,12.674,12.592,11.347,8.299,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538619,0.08483233
27,1237661976011538650,187.821375500877,7.80070717039427,1.4623300000000015,1.8262,3.692040000000002,1.8658400000000022,0.9592600000000004,2.1152299999999986,2.2992299999999997,4.906229999999999,8.29523,0.41282868873363576,0.090617,0.1160746,NGC4472,17.14,0.1999804,Possible contaminants,432.9075127620838,-14.126244087935898,19.82927,18.00307,16.54074,17.04381,16.13723,14.022,13.838,11.231,7.842,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538650,0.08522703
28,1237661976011538620,187.809529501141,7.75836212214806,1.3545999999999978,1.9808400000000006,3.65756,1.6767199999999995,0.9333399999999976,2.70495,2.86895,4.902949999999999,8.23195,0.48232534977719144,0.089698,0.5734242,NGC4472,17.14,0.7390357,Possible contaminants,81.67653567490908,-13.867724087935898,20.21651,18.23567,16.88107,17.30233,16.55895,13.854,13.69,11.656,8.327,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538620,0.08533572
29,1237661972260585711,187.934221199417,7.96011899649022,1.2032199999999982,1.7682800000000007,3.2547499999999996,1.4864699999999988,0.8331199999999974,1.9168400000000005,2.0408399999999993,3.96884,7.018839999999999,0.333969970208256,0.066393,0.9519038,NGC4472,17.14,0.7568765,Possible contaminants,231.89791469555865,-14.665864087935898,19.10559,17.33731,16.13409,16.50419,15.85084,13.934,13.81,11.882,8.832,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260585711,0.08533473
30,1237661976011538679,187.85822989944,7.89070790665883,1.3723099999999988,2.15165,3.8988099999999974,1.7471599999999974,0.9303699999999999,2.252040000000001,2.2720400000000023,5.085040000000001,7.896040000000001,0.342527783584452,0.091069,1.0,NGC4472,17.14,0.7967009,Possible contaminants,106.59633322836682,-13.6122240879359,20.63985,18.4882,17.11589,17.55783,16.74104,14.489,14.469,11.656,8.845,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538679,0.08532178
31,1237661976011538736,187.832171469577,7.74126755952662,1.2334800000000001,1.6650500000000008,3.1868100000000013,1.5217600000000004,0.8428299999999993,2.320409999999999,2.5954099999999993,5.137409999999999,8.198409999999999,0.44606767728911945,0.085375,0.3915153,NGC4472,17.14,0.7213208,Possible contaminants,267.912764997769,-13.318714087935899,20.35922,18.69417,17.46069,17.85134,17.17241,14.852,14.577,12.035,8.974,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538736,0.1389426
32,1237661976548409454,187.790463255198,8.32330590878998,1.1290200000000006,1.6289499999999997,3.042439999999999,1.4134899999999995,0.7521500000000003,1.7744099999999996,1.9924099999999996,5.04941,7.32241,0.3840057358393256,0.062978,0.6500498,NGC4472,17.14,0.5271731,Possible contaminants,414.1563215144731,-14.6673040879359,18.88385,17.2549,16.12588,16.50275,15.84141,14.067,13.849,10.792,8.519,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548409454,0.0863089
33,1237654786780037303,187.875965453876,8.11016045715018,1.2583300000000008,2.0901599999999974,3.662559999999999,1.5724000000000018,0.8593100000000007,2.01178,2.2817799999999995,5.05078,8.14478,0.46209006812014924,0.067585,0.1782363,NGC4472,17.14,0.5483333,Possible contaminants,445.21790155271947,-14.499184087935898,19.62034,17.53018,16.27185,16.67087,15.95778,13.946,13.676,10.907,7.813,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786780037303,0.08045155
34,1237661976548409482,187.834482706998,8.17826762376007,1.5215999999999994,1.814230000000002,3.688200000000002,1.87397,1.079819999999998,2.1107499999999995,2.3527500000000003,4.21875,7.030749999999999,0.4275970728698858,0.140798,0.7058926,NGC4472,17.14,0.8461684,Possible contaminants,228.99953066270027,-14.288154087935897,19.77595,17.96172,16.44012,16.8819,16.08775,13.977,13.735,11.869,9.057,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548409482,0.132124
35,1237654786779906150,187.502771719593,8.10433857047189,0.9598199999999988,1.2468600000000016,2.4419000000000004,1.1950399999999988,0.636239999999999,2.0757600000000007,2.155760000000001,5.296760000000001,7.28576,0.3802564411527616,0.051538,0.5357234,NGC4472,17.14,0.8538921,Possible contaminants,181.42878907239154,-15.502494087935899,17.55066,16.3038,15.34398,15.66756,15.10876,13.033,12.953,9.812,7.823,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779906150,0.03738992
